MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Abdul Sattar,1900-02-28,Sillod,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Abdul Sattar.jpg
Abhijeet Dhananjay Patil,1900-02-10,Madha,Male,Nationalist Congress Party-Sharadchandra Pawar,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Abhijeet Dhananjay Patil.jpg
Abhimanyu Dattatray Pawar,1900-02-22,Ausa,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Abhimanyu Dattatray Pawar.jpg
Abu Asim Azmi,1900-03-09,Mankhurd Shivaji Nagar,Male,Samajwadi Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Abu Asim Azmi.jpg
Aditi Sunil Tatkare,1900-02-05,Shrivardhan,Female,Nationalist Congress Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Aditi Sunil Tatkare.jpg
Aditya Uddhav Thackeray,1900-02-03,Worli,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Aditya Uddhav Thackeray.jpg
Ajay Vinayak Choudhari,1900-03-11,Shivadi,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ajay Vinayak Choudhari.jpg
Ajit Anantrao Pawar,1900-03-05,Baramati,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,2026-01-28,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ajit Anantrao Pawar.jpg
Sunetra Ajit Pawar,1963-10-18,Baramati,Female,Nationalist Congress Party (Ajit Pawar),Elected,Graduate,2026-05-04,In Office,,,,,,,,14,Maharashtra,Sunetra Ajit Pawar.jpg
Akash Pandurang Fundkar,1900-02-10,Khamgaon,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Akash Pandurang Fundkar.jpg
Amal Mahadevrao Mahadik,1900-02-15,Kolhapur South,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Amal Mahadevrao Mahadik.jpg
Ameet Bhaskar Satam,1900-02-17,Andheri West,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ameet Bhaskar Satam.jpg
Ameet Subhashrao Zanak,1900-02-08,Risod,Male,Indian National Congress,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Ameet Subhashrao Zanak.jpg
Amin Amir Ali Patel,1900-03-01,Mumbadevi,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Amin Amir Ali Patel.jpg
Amit Vilasrao Deshmukh,1900-02-17,Latur City,Male,Indian National Congress,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Amit Vilasrao Deshmukh.jpg
Amol Chimanrao Patil,1900-02-15,Erandol,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Amol Chimanrao Patil.jpg
Amol Dhondiba Khatal,1900-02-10,Sangamner,Male,Shiv Sena,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Amol Dhondiba Khatal.jpg
Amol Haribhau Jawale,1900-02-11,Raver,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Amol Haribhau Jawale.jpg
Amshya Fulji Padvi,1900-02-25,Akkalkuwa,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Amshya Fulji Padvi.jpg
Anand Shankar Tidke,1900-02-11,Nanded South,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Anand Shankar Tidke.jpg
Anant (Bala) B. Nar,1900-02-28,Jogeshwari East,Male,Shiv Sena (Uddhav Balasaheb Thackeray),Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,AAnant (Bala) B. Nar.jpg
